id	s	i	b	t	tgid	c	e	et	t	n
26	1	B	3	6	4	TRUE	click	4	2745	1.51001E+12
27	1	B	3	7	1	TRUE	click	1	1712	1.51001E+12
28	1	B	3	8	8	TRUE	click	8	2583	1.51001E+12
29	1	B	3	9	3	TRUE	click	3	1880	1.51001E+12
30	1	B	3	10	0	TRUE	click	0	1841	1.51001E+12
31	1	B	4	1	1	TRUE	click	1	2064	1.51001E+12
32	1	B	4	2	0	TRUE	click	0	1783	1.51001E+12
33	1	B	4	3	6	TRUE	click	6	1840	1.51001E+12
34	1	B	4	4	2	TRUE	click	2	2079	1.51001E+12
35	1	B	4	5	8	TRUE	click	8	2168	1.51001E+12
36	1	B	4	6	4	TRUE	click	4	2992	1.51001E+12
37	1	B	4	7	7	TRUE	click	7	2633	1.51001E+12
38	1	B	4	8	9	TRUE	click	9	1792	1.51001E+12
39	1	B	4	9	5	TRUE	click	5	2280	1.51001E+12
40	1	B	4	10	3	TRUE	click	3	2040	1.51001E+12
1	2	B	1	1	4	TRUE	click	4	5016	1.51009E+12
2	2	B	1	2	8	FALSE	click	9	3696	1.51009E+12
3	2	B	1	2	8	TRUE	click	8	2160	1.51009E+12
4	2	B	1	3	3	TRUE	click	3	3144	1.51009E+12
5	2	B	1	4	5	TRUE	click	5	2793	1.51009E+12
6	2	B	1	5	2	FALSE	click	1	5960	1.51009E+12
7	2	B	1	5	2	FALSE	click	9	1888	1.51009E+12
8	2	B	1	5	2	FALSE	click	8	1296	1.51009E+12
9	2	B	1	5	2	FALSE	click	7	2039	1.51009E+12
10	2	B	1	5	2	FALSE	to	7	3822	1.51009E+12
13	2	B	1	6	7	FALSE	click	2	2213	1.51009E+12
14	2	B	1	6	7	TRUE	click	2	1931	1.51009E+12
23	2	B	1	7	1	TRUE	click	1	4144	1.51009E+12
24	2	B	1	8	0	TRUE	click	0	7503	1.51009E+12
25	2	B	1	9	6	TRUE	click	6	2976	1.51009E+12
26	2	B	1	10	9	TRUE	click	9	1720	1.51009E+12
27	2	B	2	1	0	TRUE	click	0	5391	1.51009E+12
28	2	B	2	2	5	TRUE	click	5	3471	1.51009E+12
29	2	B	2	3	4	TRUE	click	4	4489	1.51009E+12
30	2	B	2	4	6	TRUE	click	6	2144	1.51009E+12
31	2	B	2	5	2	TRUE	click	2	5224	1.51009E+12
32	2	B	2	6	3	TRUE	click	3	3064	1.51009E+12
33	2	B	2	7	9	TRUE	click	9	2456	1.51009E+12
34	2	B	2	8	1	TRUE	click	1	2432	1.51009E+12
35	2	B	2	9	8	TRUE	click	8	2753	1.51009E+12
36	2	B	2	10	7	TRUE	click	7	1872	1.51009E+12
37	2	B	3	1	6	TRUE	click	6	2656	1.51009E+12
38	2	B	3	2	5	TRUE	click	5	5136	1.51009E+12
39	2	B	3	3	3	TRUE	click	3	3072	1.51009E+12
40	2	B	3	4	7	TRUE	click	7	2489	1.51009E+12
41	2	B	3	5	2	TRUE	click	2	3055	1.51009E+12
42	2	B	3	6	1	TRUE	click	1	2432	1.51009E+12
43	2	B	3	7	8	TRUE	click	8	1983	1.51009E+12
44	2	B	3	8	4	TRUE	click	4	3168	1.51009E+12
45	2	B	3	9	9	TRUE	click	9	2336	1.51009E+12
46	2	B	3	10	0	TRUE	click	0	3240	1.51009E+12
47	2	B	4	1	2	TRUE	click	2	3025	1.51009E+12
48	2	B	4	2	9	TRUE	click	9	2312	1.51009E+12
49	2	B	4	3	3	TRUE	click	3	4089	1.51009E+12
50	2	B	4	4	6	TRUE	click	6	1897	1.51009E+12
51	2	B	4	5	8	TRUE	click	8	2423	1.51009E+12
52	2	B	4	6	0	TRUE	click	0	1624	1.51009E+12
53	2	B	4	7	4	TRUE	click	4	2088	1.51009E+12
54	2	B	4	8	1	TRUE	click	1	3328	1.51009E+12
55	2	B	4	9	7	TRUE	click	7	2256	1.51009E+12
56	2	B	4	10	5	TRUE	click	5	2832	1.51009E+12
1	3	B	1	1	9	TRUE	click	9	3265	1.51016E+12
2	3	B	1	2	1	FALSE	click	2	3176	1.51016E+12
3	3	B	1	2	1	TRUE	click	1	984	1.51016E+12
4	3	B	1	3	2	TRUE	click	2	4640	1.51016E+12
5	3	B	1	4	6	TRUE	click	6	2032	1.51016E+12
6	3	B	1	5	8	TRUE	click	8	2520	1.51016E+12
7	3	B	1	6	0	TRUE	click	0	2441	1.51016E+12
8	3	B	1	7	5	TRUE	click	5	1840	1.51016E+12
9	3	B	1	8	4	TRUE	click	4	5033	1.51016E+12
10	3	B	1	9	3	TRUE	click	3	2529	1.51016E+12
11	3	B	1	10	7	TRUE	click	7	3032	1.51016E+12
12	3	B	2	1	6	TRUE	click	6	1880	1.51016E+12
13	3	B	2	2	5	TRUE	click	5	1584	1.51016E+12
14	3	B	2	3	0	TRUE	click	0	1761	1.51016E+12
15	3	B	2	4	2	FALSE	click	3	1528	1.51016E+12
16	3	B	2	4	2	TRUE	click	2	1256	1.51016E+12
17	3	B	2	5	1	TRUE	click	1	2120	1.51016E+12
18	3	B	2	6	7	TRUE	click	7	2048	1.51016E+12
19	3	B	2	7	3	TRUE	click	3	1728	1.51016E+12
20	3	B	2	8	8	TRUE	click	8	2233	1.51016E+12
21	3	B	2	9	4	TRUE	click	4	2608	1.51016E+12
22	3	B	2	10	9	TRUE	click	9	2560	1.51016E+12
23	3	B	3	1	8	TRUE	click	8	4432	1.51016E+12
24	3	B	3	2	3	TRUE	click	3	2433	1.51016E+12
25	3	B	3	3	5	TRUE	click	5	1489	1.51016E+12
26	3	B	3	4	6	TRUE	click	6	1471	1.51016E+12
27	3	B	3	5	9	TRUE	click	9	1807	1.51016E+12
28	3	B	3	6	0	TRUE	click	0	1665	1.51016E+12
29	3	B	3	7	1	TRUE	click	1	2456	1.51016E+12
30	3	B	3	8	7	TRUE	click	7	1704	1.51016E+12
31	3	B	3	9	4	TRUE	click	4	4344	1.51016E+12
32	3	B	3	10	2	FALSE	click	3	1977	1.51016E+12
33	3	B	3	10	2	TRUE	click	2	1112	1.51016E+12
34	3	B	4	1	1	TRUE	click	1	1935	1.51016E+12
35	3	B	4	2	2	TRUE	click	2	2367	1.51016E+12
36	3	B	4	3	8	TRUE	click	8	3816	1.51016E+12
37	3	B	4	4	4	TRUE	click	4	2760	1.51016E+12
38	3	B	4	5	0	TRUE	click	0	1584	1.51016E+12
39	3	B	4	6	9	TRUE	click	9	2376	1.51016E+12
40	3	B	4	7	6	TRUE	click	6	2072	1.51016E+12
41	3	B	4	8	3	TRUE	click	3	2233	1.51016E+12
42	3	B	4	9	5	TRUE	click	5	2208	1.51016E+12
43	3	B	4	10	7	TRUE	click	7	3793	1.51016E+12
1	1	C	1	1	8	TRUE	click	8	2525	1.51001E+12
2	1	C	1	2	1	TRUE	click	1	2825	1.51001E+12
3	1	C	1	3	0	TRUE	click	0	1656	1.51001E+12
4	1	C	1	4	3	TRUE	click	3	3560	1.51001E+12
5	1	C	1	5	5	TRUE	click	5	2552	1.51001E+12
6	1	C	1	6	2	TRUE	click	2	3544	1.51001E+12
7	1	C	1	7	6	TRUE	click	6	4024	1.51001E+12
8	1	C	1	8	4	TRUE	click	4	2776	1.51001E+12
9	1	C	1	9	7	TRUE	click	7	1809	1.51001E+12
10	1	C	1	10	9	TRUE	click	9	3753	1.51001E+12
11	1	C	2	1	5	TRUE	click	5	2040	1.51001E+12
12	1	C	2	2	9	TRUE	click	9	1760	1.51001E+12
13	1	C	2	3	1	TRUE	click	1	3248	1.51001E+12
14	1	C	2	4	6	TRUE	click	6	3416	1.51001E+12
15	1	C	2	5	8	TRUE	click	8	2033	1.51001E+12
16	1	C	2	6	2	TRUE	click	2	2408	1.51001E+12
17	1	C	2	7	0	TRUE	click	0	1752	1.51001E+12
18	1	C	2	8	4	TRUE	click	4	2225	1.51001E+12
19	1	C	2	9	7	TRUE	click	7	1552	1.51001E+12
20	1	C	2	10	3	TRUE	click	3	2730	1.51001E+12
21	1	C	3	1	4	TRUE	click	4	2281	1.51001E+12
22	1	C	3	2	5	TRUE	click	5	2800	1.51001E+12
23	1	C	3	3	1	TRUE	click	1	1897	1.51001E+12
24	1	C	3	4	0	TRUE	click	0	1320	1.51001E+12
25	1	C	3	5	3	TRUE	click	3	2768	1.51001E+12
26	1	C	3	6	7	TRUE	click	7	1679	1.51001E+12
27	1	C	3	7	6	TRUE	click	6	2752	1.51001E+12
28	1	C	3	8	9	TRUE	click	9	1471	1.51001E+12
29	1	C	3	9	2	TRUE	click	2	2007	1.51001E+12
30	1	C	3	10	8	TRUE	click	8	3504	1.51001E+12
31	1	C	4	1	0	TRUE	click	0	1312	1.51001E+12
32	1	C	4	2	2	TRUE	click	2	2017	1.51001E+12
33	1	C	4	3	9	TRUE	click	9	1464	1.51001E+12
34	1	C	4	4	3	TRUE	click	3	1904	1.51001E+12
35	1	C	4	5	1	TRUE	click	1	2191	1.51001E+12
36	1	C	4	6	6	TRUE	click	6	1648	1.51001E+12
37	1	C	4	7	7	TRUE	click	7	1440	1.51001E+12
38	1	C	4	8	4	TRUE	click	4	2392	1.51001E+12
39	1	C	4	9	5	TRUE	click	5	2273	1.51001E+12
40	1	C	4	10	8	TRUE	click	8	1816	1.51001E+12
1	2	C	1	1	3	TRUE	click	3	4517	1.51009E+12
2	2	C	1	2	7	TRUE	click	7	4607	1.51009E+12
3	2	C	1	3	6	TRUE	click	6	6743	1.51009E+12
4	2	C	1	4	9	TRUE	click	9	2024	1.51009E+12
5	2	C	1	5	0	TRUE	click	0	2409	1.51009E+12
6	2	C	1	6	8	TRUE	click	8	2689	1.51009E+12
7	2	C	1	7	1	TRUE	click	1	4904	1.51009E+12
8	2	C	1	8	5	TRUE	click	5	3640	1.51009E+12
9	2	C	1	9	4	TRUE	click	4	3489	1.51009E+12
10	2	C	1	10	2	TRUE	click	2	3104	1.51009E+12
11	2	C	2	1	3	TRUE	click	3	4696	1.51009E+12
12	2	C	2	2	2	TRUE	click	2	2983	1.51009E+12
13	2	C	2	3	4	FALSE	click	3	5927	1.51009E+12
14	2	C	2	3	4	TRUE	click	4	2345	1.51009E+12
15	2	C	2	4	9	TRUE	click	9	2064	1.51009E+12
16	2	C	2	5	0	TRUE	click	0	1496	1.51009E+12
17	2	C	2	6	7	FALSE	click	8	4576	1.51009E+12
18	2	C	2	6	7	TRUE	click	7	992	1.51009E+12
19	2	C	2	7	6	TRUE	click	6	2592	1.51009E+12
20	2	C	2	8	8	TRUE	click	8	4376	1.51009E+12
21	2	C	2	9	1	TRUE	click	1	6896	1.51009E+12
22	2	C	2	10	5	TRUE	click	5	1921	1.51009E+12
23	2	C	3	1	1	TRUE	click	1	2488	1.51009E+12
24	2	C	3	2	2	TRUE	click	2	2193	1.51009E+12
25	2	C	3	3	9	TRUE	click	9	2016	1.51009E+12
26	2	C	3	4	4	TRUE	click	4	3184	1.51009E+12
27	2	C	3	5	8	FALSE	click	7	5641	1.51009E+12
28	2	C	3	5	8	TRUE	click	8	888	1.51009E+12
29	2	C	3	6	6	TRUE	click	6	2288	1.51009E+12
30	2	C	3	7	0	TRUE	click	0	1520	1.51009E+12
31	2	C	3	8	7	TRUE	click	7	3783	1.51009E+12
32	2	C	3	9	5	TRUE	click	5	2081	1.51009E+12
33	2	C	3	10	3	TRUE	click	3	2544	1.51009E+12
34	2	C	4	1	1	TRUE	click	1	3784	1.51009E+12
35	2	C	4	2	2	TRUE	click	2	1672	1.51009E+12
36	2	C	4	3	5	TRUE	click	5	2000	1.51009E+12
37	2	C	4	4	6	TRUE	click	6	7160	1.51009E+12
38	2	C	4	5	8	FALSE	click	7	2328	1.51009E+12
39	2	C	4	5	8	TRUE	click	8	1192	1.51009E+12
40	2	C	4	6	4	TRUE	click	4	4360	1.51009E+12
41	2	C	4	7	0	TRUE	click	0	1639	1.51009E+12
42	2	C	4	8	9	TRUE	click	9	2168	1.51009E+12
43	2	C	4	9	7	FALSE	click	8	5624	1.51009E+12
44	2	C	4	9	7	TRUE	click	7	791	1.51009E+12
